id,cost,profit_pct
Share-JEHD,17540,0.3280
Share-HAKK,28320,0.2166
Share-CQXK,32230,0.4493
Share-NFHZ,2090,0.5860
Share-VEOO,18750,0.3319
Share-YQTP,32000,0.2636
Share-APNK,7970,0.4410
Share-FCIM,30410,0.1709
Share-CWAN,46570,0.1448
Share-ZGNB,22770,0.4582
Share-WDYF,33830,0.2730
Share-BRCC,38080,0.2408
Share-OQKF,36800,0.6060
Share-NOPE,15220,0.3680
Share-ASGY,24720,0.4705
Share-HBSR,280,0.2728
Share-CZIZ,21630,0.0000
Share-MLUC,21920,0.2487
Share-SGHI,46370,0.1212
Share-CBUV,27210,0.3238
Share-MOVJ,39900,0.3488
Share-HAJM,26920,0.2701
Share-IQQO,26630,0.3636
Share-OLMP,46250,0.1069
Share-AUGU,38880,0.0000
Share-DBFE,26550,0.5340
Share-JEZT,31060,0.9030
Share-GXSJ,39100,0.3929
Share-XREJ,8610,0.2901
Share-SALE,6750,0.9610
Share-YSKI,23780,0.3073
Share-MYXT,29250,0.0000
Share-WEOQ,25860,0.3481
Share-NHWA,43200,0.0000
Share-CYYC,25900,0.4828
Share-XINI,21590,0.800
Share-JHWR,41040,0.4494
Share-HSOR,21050,0.2764
Share-DXOW,34050,0.2338
Share-UMIB,6960,0.2574
Share-GYWT,15110,0.3678
Share-RQJV,22620,0.3965
Share-MHUT,19870,0.2662
Share-FNZM,39130,0.2058
Share-KPYM,0,0.3915
Share-IIUJ,30700,0.1300
Share-DDUF,0,0.6700
Share-VGUF,14890,0.3992
Share-THNO,21790,0.6350
Share-YYEN,17180,0.1332
Share-RZCT,36300,0.3141
Share-QRVU,4090,0.0000
Share-VFGQ,20640,0.1303
Share-URAA,29810,0.2097
Share-EBAM,41060,0.2611
Share-EAAY,28390,0.4157
Share-XFNL,15370,0.3192
Share-UTUI,34640,0.4087
Share-AIRL,20490,0.2859
Share-AYBY,25210,0.1056
Share-PWDG,4450,0.1225
Share-UGTV,25110,0.3889
Share-GHIZ,26190,0.3393
Share-UBEA,12070,0.2215
Share-VNTG,10820,0.3373
Share-NDSG,30570,0.2950
Share-OYDA,23770,0.2432
Share-KXOH,13500,0.1037
Share-FAXV,37440,0.2132
Share-QZWX,0,0.1762
Share-ABJM,17210,0.2658
Share-OQSQ,35020,0.3792
Share-APJH,16520,0.3519
Share-HUNV,24460,0.4574
Share-EJFE,9700,0.1751
Share-BGDY,3480,0.1650
Share-PJBK,24880,0.0000
Share-PAWY,15270,0.8240
Share-KEYI,18820,0.3654
Share-JUBL,19580,0.1738
Share-BECH,31190,0.4255
Share-WALV,42760,0.2412
Share-DRAB,3690,0.3695
Share-KMTG,40080,0.2288
Share-MKXO,8680,0.3001
Share-QFPY,21730,0.2309
Share-WZIF,10900,0.2435
Share-VSIP,22200,0.3165
Share-IFTU,30330,0.3385
Share-WMHE,26860,0.2112
Share-NMDR,21630,0.3462
Share-MXAF,29150,0.2993
Share-WVVQ,31330,0.3133
Share-XFUI,10,0.3618
Share-KRLT,3820,0.3412
Share-BCJD,15220,0.2411
Share-GJTI,4120,0.3073
Share-BKDN,19010,0.3020
Share-ZSZF,28180,0.1056
Share-LDCO,17450,0.0000
Share-DBUJ,0,0.2829
Share-VBIE,13620,0.3638
Share-CKEE,28120,0.1262
Share-ZECG,22610,0.2477
Share-PWWS,0,0.4404
Share-LOBE,0,0.1140
Share-HFXF,17400,0.1568
Share-NZHD,24730,0.2932
Share-LDVW,13050,0.1714
Share-PNHT,48310,0.1187
Share-YNRH,18660,0.2756
Share-CAEQ,25200,0.2650
Share-VRCA,29610,0.2053
Share-WSYK,5320,0.3759
Share-XKDC,29010,0.1479
Share-XUPB,47690,0.2331
Share-IZTA,27960,0.3886
Share-NFKM,5140,0.1567
Share-ONRM,23430,0.2561
Share-TSLL,19720,0.2433
Share-HXDE,17850,0.2105
Share-CUSU,45040,0.1974
Share-ZYBC,29580,0.3782
Share-KJRG,29000,0.4440
Share-RYQW,46960,0.4158
Share-JPLO,26120,0.2224
Share-PRLI,12300,0.3400
Share-PCSR,35750,0.2612
Share-ISXU,498760,0.00394
Share-IUVO,26100,0.2108
